decimal_date,adjusted_prediction
1958.2027,307.78
1958.2860,307.89
1958.3694,308.01
1958.4527,308.13
1958.5360,308.24
1958.6194,308.36
1958.7027,308.48
1958.7860,308.60
1958.8694,308.71
1958.9527,308.83
1959.0360,308.95
1959.1194,309.06
1959.2027,309.18
1959.2860,309.30
1959.3694,309.42
1959.4527,309.53
1959.5360,309.65
1959.6194,309.77
1959.7027,309.89
1959.7860,310.01
1959.8694,310.12
1959.9527,310.24
1960.0360,310.36
1960.1194,310.48
1960.2027,310.59
1960.2860,310.71
1960.3694,310.83
1960.4527,310.95
1960.5360,311.07
1960.6194,311.18
1960.7027,311.30
1960.7860,311.42
1960.8694,311.54
1960.9527,311.66
1961.0360,311.78
1961.1194,311.89
1961.2027,312.01
1961.2860,312.13
1961.3694,312.25
1961.4527,312.37
1961.5360,312.49
1961.6194,312.61
1961.7027,312.72
1961.7860,312.84
1961.8694,312.96
1961.9527,313.08
1962.0360,313.20
1962.1194,313.32
1962.2027,313.44
1962.2860,313.56
1962.3694,313.68
1962.4527,313.79
1962.5360,313.91
1962.6194,314.03
1962.7027,314.15
1962.7860,314.27
1962.8694,314.39
1962.9527,314.51
1963.0360,314.63
1963.1194,314.75
1963.2027,314.87
1963.2860,314.99
1963.3694,315.11
1963.4527,315.23
1963.5360,315.35
1963.6194,315.47
1963.7027,315.59
1963.7860,315.71
1963.8694,315.83
1963.9527,315.95
1964.0360,316.07
1964.1194,316.19
1964.2027,316.31
1964.2860,316.43
1964.3694,316.55
1964.4527,316.67
1964.5360,316.79
1964.6194,316.91
1964.7027,317.03
1964.7860,317.15
1964.8694,317.27
1964.9527,317.39
1965.0360,317.51
1965.1194,317.63
1965.2027,317.75
1965.2860,317.87
1965.3694,317.99
1965.4527,318.11
1965.5360,318.23
1965.6194,318.36
1965.7027,318.48
1965.7860,318.60
1965.8694,318.72
1965.9527,318.84
1966.0360,318.96
1966.1194,319.08
1966.2027,319.20
1966.2860,319.32
1966.3694,319.45
1966.4527,319.57
1966.5360,319.69
1966.6194,319.81
1966.7027,319.93
1966.7860,320.05
1966.8694,320.17
1966.9527,320.30
1967.0360,320.42
1967.1194,320.54
1967.2027,320.66
1967.2860,320.78
1967.3694,320.90
1967.4527,321.03
1967.5360,321.15
1967.6194,321.27
1967.7027,321.39
1967.7860,321.51
1967.8694,321.64
1967.9527,321.76
1968.0360,321.88
1968.1194,322.00
1968.2027,322.13
1968.2860,322.25
1968.3694,322.37
1968.4527,322.49
1968.5360,322.61
1968.6194,322.74
1968.7027,322.86
1968.7860,322.98
1968.8694,323.11
1968.9527,323.23
1969.0360,323.35
1969.1194,323.47
1969.2027,323.60
1969.2860,323.72
1969.3694,323.84
1969.4527,323.96
1969.5360,324.09
1969.6194,324.21
1969.7027,324.33
1969.7860,324.46
1969.8694,324.58
1969.9527,324.70
1970.0360,324.83
1970.1194,324.95
1970.2027,325.07
1970.2860,325.20
1970.3694,325.32
1970.4527,325.44
1970.5360,325.57
