decimal_date,adjusted_prediction
1958.2027,304.64
1958.2860,304.78
1958.3694,304.92
1958.4527,305.06
1958.5360,305.19
1958.6194,305.33
1958.7027,305.47
1958.7860,305.61
1958.8694,305.74
1958.9527,305.88
1959.0360,306.02
1959.1194,306.16
1959.2027,306.29
1959.2860,306.43
1959.3694,306.57
1959.4527,306.71
1959.5360,306.85
1959.6194,306.98
1959.7027,307.12
1959.7860,307.26
1959.8694,307.40
1959.9527,307.53
1960.0360,307.67
1960.1194,307.81
1960.2027,307.95
1960.2860,308.08
1960.3694,308.22
1960.4527,308.36
1960.5360,308.50
1960.6194,308.63
1960.7027,308.77
1960.7860,308.91
1960.8694,309.05
1960.9527,309.18
1961.0360,309.32
1961.1194,309.46
1961.2027,309.60
1961.2860,309.74
1961.3694,309.87
1961.4527,310.01
1961.5360,310.15
1961.6194,310.29
1961.7027,310.42
1961.7860,310.56
1961.8694,310.70
1961.9527,310.84
1962.0360,310.97
1962.1194,311.11
1962.2027,311.25
1962.2860,311.39
1962.3694,311.52
1962.4527,311.66
1962.5360,311.80
1962.6194,311.94
1962.7027,312.08
1962.7860,312.21
1962.8694,312.35
1962.9527,312.49
1963.0360,312.63
1963.1194,312.76
1963.2027,312.90
1963.2860,313.04
1963.3694,313.18
1963.4527,313.31
1963.5360,313.45
1963.6194,313.59
1963.7027,313.73
1963.7860,313.86
1963.8694,314.00
1963.9527,314.14
1964.0360,314.28
1964.1194,314.41
1964.2027,314.55
1964.2860,314.69
1964.3694,314.83
1964.4527,314.97
1964.5360,315.10
1964.6194,315.24
1964.7027,315.38
1964.7860,315.52
1964.8694,315.65
1964.9527,315.79
1965.0360,315.93
1965.1194,316.07
1965.2027,316.20
1965.2860,316.34
1965.3694,316.48
1965.4527,316.62
1965.5360,316.75
1965.6194,316.89
1965.7027,317.03
1965.7860,317.17
1965.8694,317.30
1965.9527,317.44
1966.0360,317.58
1966.1194,317.72
1966.2027,317.86
1966.2860,317.99
1966.3694,318.13
1966.4527,318.27
1966.5360,318.41
1966.6194,318.54
1966.7027,318.68
1966.7860,318.82
1966.8694,318.96
1966.9527,319.09
1967.0360,319.23
1967.1194,319.37
1967.2027,319.51
1967.2860,319.64
1967.3694,319.78
1967.4527,319.92
1967.5360,320.06
1967.6194,320.20
1967.7027,320.33
1967.7860,320.47
1967.8694,320.61
1967.9527,320.75
1968.0360,320.88
1968.1194,321.02
1968.2027,321.16
1968.2860,321.30
1968.3694,321.43
1968.4527,321.57
1968.5360,321.71
1968.6194,321.85
1968.7027,321.98
1968.7860,322.12
1968.8694,322.26
1968.9527,322.40
1969.0360,322.53
1969.1194,322.67
1969.2027,322.81
1969.2860,322.95
1969.3694,323.09
1969.4527,323.22
1969.5360,323.36
1969.6194,323.50
1969.7027,323.64
