decimal_date,adjusted_prediction
1958.2027,304.37
1958.2860,304.51
1958.3694,304.65
1958.4527,304.78
1958.5360,304.92
1958.6194,305.06
1958.7027,305.20
1958.7860,305.34
1958.8694,305.48
1958.9527,305.62
1959.0360,305.76
1959.1194,305.90
1959.2027,306.04
1959.2860,306.18
1959.3694,306.32
1959.4527,306.46
1959.5360,306.60
1959.6194,306.74
1959.7027,306.88
1959.7860,307.02
1959.8694,307.16
1959.9527,307.30
1960.0360,307.44
1960.1194,307.58
1960.2027,307.72
1960.2860,307.86
1960.3694,308.00
1960.4527,308.14
1960.5360,308.28
1960.6194,308.42
1960.7027,308.56
1960.7860,308.70
1960.8694,308.84
1960.9527,308.98
1961.0360,309.12
1961.1194,309.26
1961.2027,309.40
1961.2860,309.54
1961.3694,309.68
1961.4527,309.82
1961.5360,309.96
1961.6194,310.10
1961.7027,310.24
1961.7860,310.37
1961.8694,310.51
1961.9527,310.65
1962.0360,310.79
1962.1194,310.93
1962.2027,311.07
1962.2860,311.21
1962.3694,311.35
1962.4527,311.49
1962.5360,311.63
1962.6194,311.77
1962.7027,311.91
1962.7860,312.05
1962.8694,312.19
1962.9527,312.33
1963.0360,312.47
1963.1194,312.61
1963.2027,312.75
1963.2860,312.89
1963.3694,313.03
1963.4527,313.17
1963.5360,313.31
1963.6194,313.45
1963.7027,313.58
1963.7860,313.72
1963.8694,313.86
1963.9527,314.00
1964.0360,314.14
1964.1194,314.28
1964.2027,314.42
1964.2860,314.56
1964.3694,314.70
1964.4527,314.84
1964.5360,314.98
1964.6194,315.12
1964.7027,315.26
1964.7860,315.40
1964.8694,315.54
1964.9527,315.68
1965.0360,315.82
1965.1194,315.96
1965.2027,316.09
1965.2860,316.23
1965.3694,316.37
1965.4527,316.51
1965.5360,316.65
1965.6194,316.79
1965.7027,316.93
1965.7860,317.07
1965.8694,317.21
1965.9527,317.35
1966.0360,317.49
1966.1194,317.63
1966.2027,317.77
1966.2860,317.91
1966.3694,318.05
1966.4527,318.19
1966.5360,318.32
1966.6194,318.46
1966.7027,318.60
1966.7860,318.74
1966.8694,318.88
1966.9527,319.02
1967.0360,319.16
1967.1194,319.30
1967.2027,319.44
1967.2860,319.58
1967.3694,319.72
1967.4527,319.86
1967.5360,320.00
1967.6194,320.13
1967.7027,320.27
1967.7860,320.41
1967.8694,320.55
1967.9527,320.69
1968.0360,320.83
1968.1194,320.97
1968.2027,321.11
1968.2860,321.25
1968.3694,321.39
1968.4527,321.53
1968.5360,321.67
1968.6194,321.80
1968.7027,321.94
1968.7860,322.08
1968.8694,322.22
1968.9527,322.36
1969.0360,322.50
1969.1194,322.64
1969.2027,322.78
1969.2860,322.92
1969.3694,323.06
1969.4527,323.20
1969.5360,323.34
1969.6194,323.47
1969.7027,323.61
1969.7860,323.75
1969.8694,323.89
1969.9527,324.03
1970.0360,324.17
1970.1194,324.31
1970.2027,324.45
1970.2860,324.59
1970.3694,324.73
1970.4527,324.86
1970.5360,325.00
1970.6194,325.14
1970.7027,325.28
1970.7860,325.42
1970.8694,325.56
1970.9527,325.70
1971.0360,325.84
1971.1194,325.98
1971.2027,326.12
1971.2860,326.25
1971.3694,326.39
1971.4527,326.53
1971.5360,326.67
1971.6194,326.81
1971.7027,326.95
1971.7860,327.09
1971.8694,327.23
1971.9527,327.37
1972.0360,327.51
1972.1194,327.64
1972.2027,327.78
1972.2860,327.92
1972.3694,328.06
1972.4527,328.20
1972.5360,328.34
1972.6194,328.48
1972.7027,328.62
1972.7860,328.75
1972.8694,328.89
1972.9527,329.03
1973.0360,329.17
1973.1194,329.31
1973.2027,329.45
1973.2860,329.59
1973.3694,329.73
1973.4527,329.87
1973.5360,330.00
1973.6194,330.14
1973.7027,330.28
1973.7860,330.42
1973.8694,330.56
1973.9527,330.70
1974.0360,330.84
1974.1194,330.98
1974.2027,331.11
1974.2860,331.25
1974.3694,331.39
1974.4527,331.53
1974.5360,331.67
1974.6194,331.81
1974.7027,331.95
1974.7860,332.09
1974.8694,332.22
1974.9527,332.36
1975.0360,332.50
1975.1194,332.64
1975.2027,332.78
1975.2860,332.92
1975.3694,333.06
1975.4527,333.20
1975.5360,333.33
1975.6194,333.47
1975.7027,333.61
1975.7860,333.75
1975.8694,333.89
1975.9527,334.03
1976.0360,334.17
1976.1194,334.30
1976.2027,334.44
1976.2860,334.58
1976.3694,334.72
1976.4527,334.86
1976.5360,335.00
1976.6194,335.14
1976.7027,335.27
1976.7860,335.41
1976.8694,335.55
1976.9527,335.69
1977.0360,335.83
1977.1194,335.97
1977.2027,336.11
1977.2860,336.24
1977.3694,336.38
1977.4527,336.52
1977.5360,336.66
1977.6194,336.80
1977.7027,336.94
1977.7860,337.08
1977.8694,337.21
1977.9527,337.35
1978.0360,337.49
1978.1194,337.63
1978.2027,337.77
1978.2860,337.91
1978.3694,338.05
1978.4527,338.18
1978.5360,338.32
1978.6194,338.46
1978.7027,338.60
1978.7860,338.74
1978.8694,338.88
1978.9527,339.01
1979.0360,339.15
1979.1194,339.29
1979.2027,339.43
1979.2860,339.57
1979.3694,339.71
1979.4527,339.84
1979.5360,339.98
1979.6194,340.12
1979.7027,340.26
1979.7860,340.40
1979.8694,340.54
1979.9527,340.67
1980.0360,340.81
1980.1194,340.95
1980.2027,341.09
1980.2860,341.23
1980.3694,341.37
1980.4527,341.50
1980.5360,341.64
1980.6194,341.78
1980.7027,341.92
1980.7860,342.06
1980.8694,342.20
1980.9527,342.33
1981.0360,342.47
1981.1194,342.61
1981.2027,342.75
1981.2860,342.89
1981.3694,343.03
1981.4527,343.16
1981.5360,343.30
1981.6194,343.44
1981.7027,343.58
1981.7860,343.72
1981.8694,343.86
1981.9527,343.99
1982.0360,344.13
1982.1194,344.27
1982.2027,344.41
