decimal_date,adjusted_prediction
1958.2027,307.53
1958.2860,307.65
1958.3694,307.77
1958.4527,307.89
1958.5360,308.01
1958.6194,308.13
1958.7027,308.25
1958.7860,308.36
1958.8694,308.48
1958.9527,308.60
1959.0360,308.72
1959.1194,308.84
1959.2027,308.96
1959.2860,309.08
1959.3694,309.20
1959.4527,309.32
1959.5360,309.44
1959.6194,309.56
1959.7027,309.68
1959.7860,309.80
1959.8694,309.92
1959.9527,310.03
1960.0360,310.15
1960.1194,310.27
1960.2027,310.39
1960.2860,310.51
1960.3694,310.63
1960.4527,310.75
1960.5360,310.87
1960.6194,310.99
1960.7027,311.11
1960.7860,311.23
1960.8694,311.35
1960.9527,311.47
1961.0360,311.59
1961.1194,311.71
1961.2027,311.83
1961.2860,311.95
1961.3694,312.07
1961.4527,312.19
1961.5360,312.31
1961.6194,312.43
1961.7027,312.55
1961.7860,312.68
1961.8694,312.80
1961.9527,312.92
1962.0360,313.04
1962.1194,313.16
1962.2027,313.28
1962.2860,313.40
1962.3694,313.52
1962.4527,313.64
1962.5360,313.76
1962.6194,313.88
1962.7027,314.00
1962.7860,314.12
1962.8694,314.24
1962.9527,314.37
1963.0360,314.49
1963.1194,314.61
1963.2027,314.73
1963.2860,314.85
1963.3694,314.97
1963.4527,315.09
1963.5360,315.21
1963.6194,315.34
1963.7027,315.46
1963.7860,315.58
1963.8694,315.70
1963.9527,315.82
1964.0360,315.94
1964.1194,316.06
1964.2027,316.19
1964.2860,316.31
1964.3694,316.43
1964.4527,316.55
1964.5360,316.67
1964.6194,316.80
1964.7027,316.92
1964.7860,317.04
1964.8694,317.16
1964.9527,317.28
1965.0360,317.41
1965.1194,317.53
1965.2027,317.65
1965.2860,317.77
1965.3694,317.89
1965.4527,318.02
1965.5360,318.14
1965.6194,318.26
1965.7027,318.38
1965.7860,318.51
1965.8694,318.63
1965.9527,318.75
1966.0360,318.87
1966.1194,319.00
1966.2027,319.12
1966.2860,319.24
1966.3694,319.36
1966.4527,319.49
1966.5360,319.61
1966.6194,319.73
1966.7027,319.86
1966.7860,319.98
1966.8694,320.10
1966.9527,320.22
1967.0360,320.35
1967.1194,320.47
1967.2027,320.59
1967.2860,320.72
1967.3694,320.84
1967.4527,320.96
1967.5360,321.09
1967.6194,321.21
1967.7027,321.33
1967.7860,321.46
1967.8694,321.58
1967.9527,321.70
1968.0360,321.83
1968.1194,321.95
1968.2027,322.08
1968.2860,322.20
1968.3694,322.32
1968.4527,322.45
1968.5360,322.57
1968.6194,322.69
1968.7027,322.82
1968.7860,322.94
1968.8694,323.07
1968.9527,323.19
1969.0360,323.31
1969.1194,323.44
1969.2027,323.56
1969.2860,323.69
1969.3694,323.81
1969.4527,323.94
1969.5360,324.06
1969.6194,324.18
