decimal_date,adjusted_prediction
1958.2027,314.74
1958.2860,314.81
1958.3694,314.87
1958.4527,314.93
1958.5360,314.99
1958.6194,315.06
1958.7027,315.12
1958.7860,315.18
1958.8694,315.25
1958.9527,315.31
1959.0360,315.38
1959.1194,315.44
1959.2027,315.50
1959.2860,315.57
1959.3694,315.63
1959.4527,315.70
1959.5360,315.76
1959.6194,315.83
1959.7027,315.90
1959.7860,315.96
1959.8694,316.03
1959.9527,316.09
1960.0360,316.16
1960.1194,316.23
1960.2027,316.29
1960.2860,316.36
1960.3694,316.43
1960.4527,316.50
1960.5360,316.56
1960.6194,316.63
1960.7027,316.70
1960.7860,316.77
1960.8694,316.83
1960.9527,316.90
1961.0360,316.97
1961.1194,317.04
1961.2027,317.11
1961.2860,317.18
1961.3694,317.25
1961.4527,317.32
1961.5360,317.39
1961.6194,317.46
1961.7027,317.53
1961.7860,317.60
1961.8694,317.67
1961.9527,317.74
1962.0360,317.81
1962.1194,317.88
1962.2027,317.95
1962.2860,318.02
1962.3694,318.09
1962.4527,318.17
1962.5360,318.24
1962.6194,318.31
1962.7027,318.38
1962.7860,318.46
1962.8694,318.53
1962.9527,318.60
1963.0360,318.67
1963.1194,318.75
1963.2027,318.82
1963.2860,318.89
1963.3694,318.97
1963.4527,319.04
1963.5360,319.12
1963.6194,319.19
1963.7027,319.27
1963.7860,319.34
1963.8694,319.42
1963.9527,319.49
1964.0360,319.57
1964.1194,319.64
1964.2027,319.72
1964.2860,319.79
1964.3694,319.87
1964.4527,319.95
1964.5360,320.02
1964.6194,320.10
1964.7027,320.18
1964.7860,320.25
1964.8694,320.33
1964.9527,320.41
1965.0360,320.48
1965.1194,320.56
1965.2027,320.64
1965.2860,320.72
1965.3694,320.80
1965.4527,320.88
1965.5360,320.95
1965.6194,321.03
1965.7027,321.11
1965.7860,321.19
1965.8694,321.27
1965.9527,321.35
1966.0360,321.43
1966.1194,321.51
1966.2027,321.59
1966.2860,321.67
1966.3694,321.75
1966.4527,321.83
1966.5360,321.91
1966.6194,321.99
1966.7027,322.08
1966.7860,322.16
1966.8694,322.24
1966.9527,322.32
1967.0360,322.40
1967.1194,322.48
1967.2027,322.57
1967.2860,322.65
1967.3694,322.73
1967.4527,322.82
1967.5360,322.90
1967.6194,322.98
1967.7027,323.07
1967.7860,323.15
1967.8694,323.23
1967.9527,323.32
