decimal_date,adjusted_prediction
2016.3694,403.83
2016.4527,404.03
2016.5361,404.23
2016.6194,404.44
2016.7027,404.64
2016.7861,404.84
2016.8694,405.05
2016.9527,405.25
2017.0361,405.45
2017.1194,405.66
2017.2027,405.86
2017.2861,406.07
2017.3694,406.27
2017.4527,406.47
2017.5361,406.68
2017.6194,406.88
2017.7027,407.09
2017.7861,407.29
2017.8694,407.50
2017.9527,407.70
2018.0361,407.91
2018.1194,408.11
2018.2027,408.32
2018.2861,408.52
2018.3694,408.73
2018.4527,408.93
2018.5361,409.14
2018.6194,409.35
2018.7027,409.55
2018.7861,409.76
2018.8694,409.96
2018.9527,410.17
2019.0361,410.38
2019.1194,410.58
2019.2027,410.79
2019.2861,411.00
2019.3694,411.20
2019.4527,411.41
2019.5361,411.62
2019.6194,411.82
2019.7027,412.03
2019.7861,412.24
2019.8694,412.45
2019.9527,412.65
2020.0361,412.86
2020.1194,413.07
2020.2027,413.28
2020.2861,413.48
2020.3694,413.69
2020.4527,413.90
2020.5361,414.11
2020.6194,414.32
2020.7027,414.52
2020.7861,414.73
2020.8694,414.94
2020.9527,415.15
2021.0361,415.36
2021.1194,415.57
2021.2027,415.78
2021.2861,415.99
2021.3694,416.20
2021.4527,416.40
2021.5361,416.61
2021.6194,416.82
2021.7027,417.03
2021.7861,417.24
2021.8694,417.45
2021.9527,417.66
2022.0361,417.87
2022.1194,418.08
2022.2027,418.29
2022.2861,418.50
2022.3694,418.71
2022.4527,418.93
2022.5361,419.14
2022.6194,419.35
2022.7027,419.56
2022.7861,419.77
2022.8694,419.98
2022.9527,420.19
2023.0361,420.40
2023.1194,420.61
2023.2027,420.83
2023.2861,421.04
2023.3694,421.25
2023.4527,421.46
2023.5361,421.67
2023.6194,421.88
2023.7027,422.10
2023.7861,422.31
2023.8694,422.52
2023.9527,422.73
2024.0361,422.95
2024.1194,423.16
2024.2027,423.37
2024.2861,423.59
2024.3694,423.80
2024.4527,424.01
2024.5361,424.22
2024.6194,424.44
2024.7027,424.65
2024.7861,424.87
2024.8694,425.08
2024.9527,425.29
2025.0361,425.51
2025.1194,425.72
2025.2027,425.93
2025.2861,426.15
2025.3694,426.36
