decimal_date,adjusted_prediction
2016.3750,403.84
2016.4583,404.04
2016.5417,404.25
2016.6250,404.45
2016.7083,404.65
2016.7917,404.86
2016.8750,405.06
2016.9583,405.26
2017.0417,405.47
2017.1250,405.67
2017.2083,405.88
2017.2917,406.08
2017.3750,406.28
2017.4583,406.49
2017.5417,406.69
2017.6250,406.90
2017.7083,407.10
2017.7917,407.31
2017.8750,407.51
2017.9583,407.72
2018.0417,407.92
2018.1250,408.13
2018.2083,408.33
2018.2917,408.54
2018.3750,408.74
2018.4583,408.95
2018.5417,409.15
2018.6250,409.36
2018.7083,409.57
2018.7917,409.77
2018.8750,409.98
2018.9583,410.18
2019.0417,410.39
2019.1250,410.60
2019.2083,410.80
2019.2917,411.01
2019.3750,411.22
2019.4583,411.42
2019.5417,411.63
2019.6250,411.84
2019.7083,412.04
2019.7917,412.25
2019.8750,412.46
2019.9583,412.67
2020.0417,412.87
2020.1250,413.08
2020.2083,413.29
2020.2917,413.50
2020.3750,413.71
2020.4583,413.91
2020.5417,414.12
2020.6250,414.33
2020.7083,414.54
2020.7917,414.75
2020.8750,414.96
2020.9583,415.16
2021.0417,415.37
2021.1250,415.58
2021.2083,415.79
2021.2917,416.00
2021.3750,416.21
2021.4583,416.42
2021.5417,416.63
2021.6250,416.84
2021.7083,417.05
2021.7917,417.26
2021.8750,417.47
2021.9583,417.68
2022.0417,417.89
2022.1250,418.10
2022.2083,418.31
2022.2917,418.52
2022.3750,418.73
2022.4583,418.94
2022.5417,419.15
2022.6250,419.36
2022.7083,419.57
2022.7917,419.78
2022.8750,419.99
2022.9583,420.21
2023.0417,420.42
2023.1250,420.63
2023.2083,420.84
2023.2917,421.05
2023.3750,421.26
2023.4583,421.47
2023.5417,421.69
2023.6250,421.90
2023.7083,422.11
2023.7917,422.32
2023.8750,422.54
2023.9583,422.75
2024.0417,422.96
2024.1250,423.17
2024.2083,423.39
2024.2917,423.60
2024.3750,423.81
2024.4583,424.03
2024.5417,424.24
2024.6250,424.45
2024.7083,424.67
2024.7917,424.88
2024.8750,425.09
2024.9583,425.31
2025.0417,425.52
2025.1250,425.74
2025.2083,425.95
2025.2917,426.16
2025.3750,426.38
