decimal_date,adjusted_prediction
2016.3694,403.71
2016.4527,403.92
2016.5361,404.13
2016.6194,404.34
2016.7027,404.55
2016.7861,404.76
2016.8694,404.97
2016.9527,405.18
2017.0361,405.39
2017.1194,405.59
2017.2027,405.80
2017.2861,406.01
2017.3694,406.22
2017.4527,406.43
2017.5361,406.64
2017.6194,406.85
2017.7027,407.06
2017.7861,407.27
2017.8694,407.48
2017.9527,407.69
2018.0361,407.89
2018.1194,408.10
2018.2027,408.31
2018.2861,408.52
2018.3694,408.73
2018.4527,408.94
2018.5361,409.15
2018.6194,409.36
2018.7027,409.57
2018.7861,409.78
2018.8694,409.99
2018.9527,410.19
2019.0361,410.40
2019.1194,410.61
2019.2027,410.82
2019.2861,411.03
2019.3694,411.24
2019.4527,411.45
2019.5361,411.66
2019.6194,411.87
2019.7027,412.07
2019.7861,412.28
2019.8694,412.49
2019.9527,412.70
2020.0361,412.91
2020.1194,413.12
2020.2027,413.33
2020.2861,413.54
2020.3694,413.75
2020.4527,413.95
2020.5361,414.16
2020.6194,414.37
2020.7027,414.58
2020.7861,414.79
2020.8694,415.00
2020.9527,415.21
2021.0361,415.42
2021.1194,415.62
2021.2027,415.83
2021.2861,416.04
2021.3694,416.25
2021.4527,416.46
2021.5361,416.67
2021.6194,416.88
2021.7027,417.09
2021.7861,417.29
2021.8694,417.50
2021.9527,417.71
2022.0361,417.92
2022.1194,418.13
2022.2027,418.34
2022.2861,418.55
2022.3694,418.75
2022.4527,418.96
2022.5361,419.17
2022.6194,419.38
2022.7027,419.59
2022.7861,419.80
2022.8694,420.01
2022.9527,420.21
2023.0361,420.42
2023.1194,420.63
2023.2027,420.84
2023.2861,421.05
2023.3694,421.26
2023.4527,421.47
2023.5361,421.67
2023.6194,421.88
2023.7027,422.09
2023.7861,422.30
2023.8694,422.51
2023.9527,422.72
2024.0361,422.93
2024.1194,423.13
2024.2027,423.34
2024.2861,423.55
2024.3694,423.76
2024.4527,423.97
2024.5361,424.18
2024.6194,424.38
2024.7027,424.59
2024.7861,424.80
2024.8694,425.01
2024.9527,425.22
2025.0361,425.43
2025.1194,425.63
2025.2027,425.84
2025.2861,426.05
2025.3694,426.26
