decimal_date,adjusted_prediction
2016.3694,403.73
2016.4527,403.94
2016.5361,404.15
2016.6194,404.35
2016.7027,404.56
2016.7861,404.76
2016.8694,404.97
2016.9527,405.17
2017.0361,405.38
2017.1194,405.59
2017.2027,405.79
2017.2861,406.00
2017.3694,406.21
2017.4527,406.41
2017.5361,406.62
2017.6194,406.83
2017.7027,407.03
2017.7861,407.24
2017.8694,407.45
2017.9527,407.65
2018.0361,407.86
2018.1194,408.07
2018.2027,408.28
2018.2861,408.48
2018.3694,408.69
2018.4527,408.90
2018.5361,409.11
2018.6194,409.32
2018.7027,409.52
2018.7861,409.73
2018.8694,409.94
2018.9527,410.15
2019.0361,410.36
2019.1194,410.56
2019.2027,410.77
2019.2861,410.98
2019.3694,411.19
2019.4527,411.40
2019.5361,411.61
2019.6194,411.82
2019.7027,412.03
2019.7861,412.24
2019.8694,412.45
2019.9527,412.66
2020.0361,412.87
2020.1194,413.07
2020.2027,413.28
2020.2861,413.49
2020.3694,413.70
2020.4527,413.91
2020.5361,414.12
2020.6194,414.33
2020.7027,414.55
2020.7861,414.76
2020.8694,414.97
2020.9527,415.18
2021.0361,415.39
2021.1194,415.60
2021.2027,415.81
2021.2861,416.02
2021.3694,416.23
2021.4527,416.44
2021.5361,416.65
2021.6194,416.87
2021.7027,417.08
2021.7861,417.29
2021.8694,417.50
2021.9527,417.71
2022.0361,417.92
2022.1194,418.14
2022.2027,418.35
2022.2861,418.56
2022.3694,418.77
2022.4527,418.99
2022.5361,419.20
2022.6194,419.41
2022.7027,419.62
2022.7861,419.84
2022.8694,420.05
2022.9527,420.26
2023.0361,420.48
2023.1194,420.69
2023.2027,420.90
2023.2861,421.12
2023.3694,421.33
2023.4527,421.54
2023.5361,421.76
2023.6194,421.97
2023.7027,422.18
2023.7861,422.40
2023.8694,422.61
2023.9527,422.83
2024.0361,423.04
2024.1194,423.26
2024.2027,423.47
2024.2861,423.68
2024.3694,423.90
2024.4527,424.11
2024.5361,424.33
2024.6194,424.54
2024.7027,424.76
2024.7861,424.97
2024.8694,425.19
2024.9527,425.41
2025.0361,425.62
2025.1194,425.84
2025.2027,426.05
2025.2861,426.27
2025.3694,426.48
