decimal_date,adjusted_prediction
2016.3694,404.41
2016.4527,404.58
2016.5361,404.75
2016.6194,404.92
2016.7027,405.09
2016.7861,405.26
2016.8694,405.43
2016.9527,405.61
2017.0361,405.78
2017.1194,405.95
2017.2027,406.13
2017.2861,406.30
2017.3694,406.48
2017.4527,406.66
2017.5361,406.84
2017.6194,407.02
2017.7027,407.20
2017.7861,407.38
2017.8694,407.56
2017.9527,407.74
2018.0361,407.92
2018.1194,408.11
2018.2027,408.29
2018.2861,408.48
2018.3694,408.66
2018.4527,408.85
2018.5361,409.04
2018.6194,409.23
2018.7027,409.42
2018.7861,409.61
2018.8694,409.80
2018.9527,409.99
2019.0361,410.18
2019.1194,410.38
2019.2027,410.57
2019.2861,410.77
2019.3694,410.96
2019.4527,411.16
2019.5361,411.36
2019.6194,411.55
2019.7027,411.75
2019.7861,411.95
2019.8694,412.15
2019.9527,412.36
2020.0361,412.56
2020.1194,412.76
2020.2027,412.96
2020.2861,413.17
2020.3694,413.37
2020.4527,413.58
2020.5361,413.79
2020.6194,414.00
2020.7027,414.20
2020.7861,414.41
2020.8694,414.62
2020.9527,414.84
2021.0361,415.05
2021.1194,415.26
2021.2027,415.47
2021.2861,415.69
2021.3694,415.90
2021.4527,416.12
2021.5361,416.34
2021.6194,416.55
2021.7027,416.77
2021.7861,416.99
2021.8694,417.21
2021.9527,417.43
2022.0361,417.65
2022.1194,417.88
2022.2027,418.10
2022.2861,418.32
2022.3694,418.55
2022.4527,418.77
2022.5361,419.00
2022.6194,419.23
2022.7027,419.45
2022.7861,419.68
2022.8694,419.91
2022.9527,420.14
2023.0361,420.37
2023.1194,420.61
2023.2027,420.84
2023.2861,421.07
2023.3694,421.31
2023.4527,421.54
2023.5361,421.78
2023.6194,422.01
2023.7027,422.25
2023.7861,422.49
2023.8694,422.73
2023.9527,422.97
2024.0361,423.21
2024.1194,423.45
2024.2027,423.69
2024.2861,423.94
2024.3694,424.18
2024.4527,424.43
2024.5361,424.67
2024.6194,424.92
2024.7027,425.17
2024.7861,425.41
2024.8694,425.66
2024.9527,425.91
2025.0361,426.16
2025.1194,426.41
2025.2027,426.66
2025.2861,426.92
2025.3694,427.17
