decimal_date,adjusted_prediction
2016.3750,404.31
2016.4583,404.49
2016.5417,404.67
2016.6250,404.85
2016.7083,405.02
2016.7917,405.20
2016.8750,405.38
2016.9583,405.56
2017.0417,405.74
2017.1250,405.92
2017.2083,406.11
2017.2917,406.29
2017.3750,406.47
2017.4583,406.66
2017.5417,406.84
2017.6250,407.03
2017.7083,407.21
2017.7917,407.40
2017.8750,407.58
2017.9583,407.77
2018.0417,407.96
2018.1250,408.15
2018.2083,408.34
2018.2917,408.53
2018.3750,408.72
2018.4583,408.91
2018.5417,409.10
2018.6250,409.29
2018.7083,409.48
2018.7917,409.68
2018.8750,409.87
2018.9583,410.07
2019.0417,410.26
2019.1250,410.46
2019.2083,410.65
2019.2917,410.85
2019.3750,411.05
2019.4583,411.25
2019.5417,411.45
2019.6250,411.65
2019.7083,411.85
2019.7917,412.05
2019.8750,412.25
2019.9583,412.45
2020.0417,412.65
2020.1250,412.85
2020.2083,413.06
2020.2917,413.26
2020.3750,413.47
2020.4583,413.67
2020.5417,413.88
2020.6250,414.09
2020.7083,414.29
2020.7917,414.50
2020.8750,414.71
2020.9583,414.92
2021.0417,415.13
2021.1250,415.34
2021.2083,415.55
2021.2917,415.76
2021.3750,415.97
2021.4583,416.19
2021.5417,416.40
2021.6250,416.61
2021.7083,416.83
2021.7917,417.04
2021.8750,417.26
2021.9583,417.47
2022.0417,417.69
2022.1250,417.91
2022.2083,418.13
2022.2917,418.35
2022.3750,418.57
2022.4583,418.79
2022.5417,419.01
2022.6250,419.23
2022.7083,419.45
2022.7917,419.67
2022.8750,419.89
2022.9583,420.12
2023.0417,420.34
2023.1250,420.57
2023.2083,420.79
2023.2917,421.02
2023.3750,421.24
2023.4583,421.47
2023.5417,421.70
2023.6250,421.93
2023.7083,422.16
2023.7917,422.39
2023.8750,422.62
2023.9583,422.85
2024.0417,423.08
2024.1250,423.31
2024.2083,423.54
2024.2917,423.78
2024.3750,424.01
2024.4583,424.24
2024.5417,424.48
2024.6250,424.72
2024.7083,424.95
2024.7917,425.19
2024.8750,425.43
2024.9583,425.66
2025.0417,425.90
2025.1250,426.14
2025.2083,426.38
2025.2917,426.62
2025.3750,426.86
